"Pass []","re(Mode(1)) [g]"
1,3.88114941932046
2,4.30745021746845
3,4.28874980040395
4,4.1358704684909
5,4.23866774470208
6,4.41949270953016
7,4.595048230016
8,4.70825462380121
9,4.81094776865042
10,4.87149828312851
11,4.90352881750761
12,4.92375626047501
13,4.92752619817894
14,
15,
16,
17,
18,
19,
20,
